
---------- Begin Simulation Statistics ----------
simSeconds                                   0.029959                       # Number of seconds simulated (Second)
simTicks                                  29959334000                       # Number of ticks simulated (Tick)
finalTick                                 29959334000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    431.19                       # Real time elapsed on the host (Second)
hostTickRate                                 69481337                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     796660                       # Number of bytes of host memory used (Byte)
simInsts                                    104693735                       # Number of instructions simulated (Count)
simOps                                      190503147                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   242804                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     441813                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                         3153142                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       11864146                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                     302                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      11853946                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   213                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              115320                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           103658                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                146                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples            3110446                       # Number of insts issued each cycle
system.cpu0.numIssuedDist::mean              3.811012                       # Number of insts issued each cycle
system.cpu0.numIssuedDist::stdev             2.185035                       # Number of insts issued each cycle
system.ruby.l1_cntrl0.mandatoryQueue.m_stall_time   500.018817                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.l1_cntrl0.power_state.pwrStateResidencyTicks::UNDEFINED  29959334000                       # Cumulative time (in ticks) in various power states (Tick)
system.ruby.l1_cntrl0.requestFromL1Cache.m_buf_msgs     0.000082                       # Average number of messages in buffer (Unspecified)
system.ruby.l1_cntrl0.requestFromL1Cache.m_stall_time   499.999983                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.l1_cntrl0.requestToL1Cache.m_buf_msgs     0.000011                       # Average number of messages in buffer (Unspecified)
system.ruby.l1_cntrl0.requestToL1Cache.m_stall_time  3316.991968                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.l1_cntrl0.responseFromL1Cache.m_buf_msgs     0.000057                       # Average number of messages in buffer (Unspecified)
system.ruby.l1_cntrl0.responseFromL1Cache.m_stall_time   499.998757                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.l1_cntrl0.responseToL1Cache.m_buf_msgs     0.000071                       # Average number of messages in buffer (Unspecified)
system.ruby.l1_cntrl0.responseToL1Cache.m_stall_time  3509.947743                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.l1_cntrl0.sequencer.power_state.pwrStateResidencyTicks::UNDEFINED  29959334000                       # Cumulative time (in ticks) in various power states (Tick)
system.ruby.l1_cntrl0.triggerQueue.m_buf_msgs     0.000015                       # Average number of messages in buffer (Unspecified)
system.ruby.l1_cntrl0.triggerQueue.m_stall_time   499.996570                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.l1_cntrl1.fullyBusyCycles           58147                       # cycles for which number of transistions == max transitions (Unspecified)
system.ruby.l1_cntrl1.L1Dcache.m_demand_hits     27900262                       # Number of cache demand hits (Unspecified)
system.ruby.l1_cntrl1.L1Dcache.m_demand_misses         8997                       # Number of cache demand misses (Unspecified)
system.ruby.l1_cntrl1.L1Dcache.m_demand_accesses     27909259                       # Number of cache demand accesses (Unspecified)
system.ruby.l1_cntrl1.L1Icache.m_demand_hits     13760507                       # Number of cache demand hits (Unspecified)
system.ruby.l1_cntrl1.L1Icache.m_demand_misses         1443                       # Number of cache demand misses (Unspecified)
system.ruby.l1_cntrl1.L1Icache.m_demand_accesses     13761950                       # Number of cache demand accesses (Unspecified)
system.ruby.l1_cntrl1.mandatoryQueue.m_buf_msgs     0.695559                       # Average number of messages in buffer (Unspecified)
system.ruby.l1_cntrl1.mandatoryQueue.m_stall_time   473.892652                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.l1_cntrl1.power_state.pwrStateResidencyTicks::UNDEFINED  29959334000                       # Cumulative time (in ticks) in various power states (Tick)
system.ruby.l1_cntrl1.requestFromL1Cache.m_buf_msgs     0.000437                       # Average number of messages in buffer (Unspecified)
system.ruby.l1_cntrl1.requestFromL1Cache.m_stall_time   473.802196                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.l1_cntrl1.requestToL1Cache.m_buf_msgs     0.000000                       # Average number of messages in buffer (Unspecified)
system.ruby.l1_cntrl1.requestToL1Cache.m_stall_time  3316.437200                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.l1_cntrl1.responseFromL1Cache.m_buf_msgs     0.000212                       # Average number of messages in buffer (Unspecified)
system.ruby.l1_cntrl1.responseFromL1Cache.m_stall_time   473.802021                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.l1_cntrl1.responseToL1Cache.m_buf_msgs     0.000325                       # Average number of messages in buffer (Unspecified)
system.ruby.l1_cntrl1.responseToL1Cache.m_stall_time 12159.227630                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.l1_cntrl1.sequencer.power_state.pwrStateResidencyTicks::UNDEFINED  29959334000                       # Cumulative time (in ticks) in various power states (Tick)
system.ruby.l1_cntrl1.triggerQueue.m_buf_msgs     0.000013                       # Average number of messages in buffer (Unspecified)
system.ruby.l1_cntrl1.triggerQueue.m_stall_time   473.799693                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.l2_cntrl0.GlobalRequestFromL2Cache.m_buf_msgs     0.000061                       # Average number of messages in buffer (Unspecified)
system.ruby.l2_cntrl0.GlobalRequestFromL2Cache.m_stall_time   499.999925                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.l2_cntrl0.L1RequestFromL2Cache.m_buf_msgs     0.000012                       # Average number of messages in buffer (Unspecified)
system.ruby.l2_cntrl0.L1RequestFromL2Cache.m_stall_time   499.996637                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.l2_cntrl0.L1RequestToL2Cache.m_buf_msgs     0.000519                       # Average number of messages in buffer (Unspecified)
system.ruby.l2_cntrl0.L1RequestToL2Cache.m_stall_time  3500.807319                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.l2_cntrl0.L2cache.m_demand_hits         8457                       # Number of cache demand hits (Unspecified)
system.ruby.l2_cntrl0.L2cache.m_demand_misses         4363                       # Number of cache demand misses (Unspecified)
system.ruby.l2_cntrl0.L2cache.m_demand_accesses        12820                       # Number of cache demand accesses (Unspecified)
system.ruby.l2_cntrl0.power_state.pwrStateResidencyTicks::UNDEFINED  29959334000                       # Cumulative time (in ticks) in various power states (Tick)
system.ruby.l2_cntrl0.responseFromL2Cache.m_buf_msgs     0.003127                       # Average number of messages in buffer (Unspecified)
system.ruby.l2_cntrl0.responseFromL2Cache.m_stall_time  9359.749427                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.l2_cntrl0.responseToL2Cache.m_buf_msgs     0.000319                       # Average number of messages in buffer (Unspecified)
system.ruby.l2_cntrl0.responseToL2Cache.m_stall_time  3500.003839                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.l2_cntrl0.triggerQueue.m_buf_msgs     0.000023                       # Average number of messages in buffer (Unspecified)
system.ruby.l2_cntrl0.triggerQueue.m_stall_time   499.996637                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.memctrl_clk_domain.clock             1500                       # Clock period in ticks (Tick)
system.ruby.network.msg_count.Request_Control        49503                       (Unspecified)
system.ruby.network.msg_byte.Request_Control       396024                       (Unspecified)
system.ruby.network.msg_count.Response_Data        22086                       (Unspecified)
system.ruby.network.msg_byte.Response_Data      1590192                       (Unspecified)
system.ruby.network.msg_count.ResponseL2hit_Data        25371                       (Unspecified)
system.ruby.network.msg_byte.ResponseL2hit_Data      1826712                       (Unspecified)
system.ruby.network.msg_count.ResponseLocal_Data         2046                       (Unspecified)
system.ruby.network.msg_byte.ResponseLocal_Data       147312                       (Unspecified)
system.ruby.network.msg_count.Response_Control           54                       (Unspecified)
system.ruby.network.msg_byte.Response_Control          432                       (Unspecified)
system.ruby.network.msg_count.Writeback_Data        22299                       (Unspecified)
system.ruby.network.msg_byte.Writeback_Data      1605528                       (Unspecified)
system.ruby.network.msg_count.Writeback_Control        65075                       (Unspecified)
system.ruby.network.msg_byte.Writeback_Control       520600                       (Unspecified)
system.ruby.network.msg_count.Forwarded_Control         2046                       (Unspecified)
system.ruby.network.msg_byte.Forwarded_Control        16368                       (Unspecified)
system.ruby.network.msg_count.Unblock_Control        57273                       (Unspecified)
system.ruby.network.msg_byte.Unblock_Control       458184                       (Unspecified)
system.ruby.network.int_link_buffers0.m_buf_msgs     0.000082                       # Average number of messages in buffer (Unspecified)
system.ruby.network.int_link_buffers0.m_stall_time  1500.082036                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.int_link_buffers11.m_buf_msgs     0.000061                       # Average number of messages in buffer (Unspecified)
system.ruby.network.int_link_buffers11.m_stall_time  1499.996570                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.int_link_buffers12.m_buf_msgs     0.000011                       # Average number of messages in buffer (Unspecified)
system.ruby.network.int_link_buffers12.m_stall_time  2369.375709                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.int_link_buffers14.m_buf_msgs     0.000071                       # Average number of messages in buffer (Unspecified)
system.ruby.network.int_link_buffers14.m_stall_time  2509.950296                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.int_link_buffers15.m_buf_msgs     0.000000                       # Average number of messages in buffer (Unspecified)
system.ruby.network.int_link_buffers15.m_stall_time  2368.887564                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.int_link_buffers17.m_buf_msgs     0.000325                       # Average number of messages in buffer (Unspecified)
system.ruby.network.int_link_buffers17.m_stall_time 11211.623654                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.int_link_buffers18.m_buf_msgs     0.000519                       # Average number of messages in buffer (Unspecified)
system.ruby.network.int_link_buffers18.m_stall_time  2500.807536                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.int_link_buffers2.m_buf_msgs     0.000057                       # Average number of messages in buffer (Unspecified)
system.ruby.network.int_link_buffers2.m_stall_time  1502.275117                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.int_link_buffers20.m_buf_msgs     0.000319                       # Average number of messages in buffer (Unspecified)
system.ruby.network.int_link_buffers20.m_stall_time  2500.006275                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.int_link_buffers22.m_buf_msgs     0.000061                       # Average number of messages in buffer (Unspecified)
system.ruby.network.int_link_buffers22.m_stall_time  2500.039045                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.int_link_buffers23.m_buf_msgs     0.000061                       # Average number of messages in buffer (Unspecified)
system.ruby.network.int_link_buffers23.m_stall_time  2500.088962                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.int_link_buffers3.m_buf_msgs     0.000437                       # Average number of messages in buffer (Unspecified)
system.ruby.network.int_link_buffers3.m_stall_time  1422.100137                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.int_link_buffers5.m_buf_msgs     0.000212                       # Average number of messages in buffer (Unspecified)
system.ruby.network.int_link_buffers5.m_stall_time  1421.407198                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.int_link_buffers6.m_buf_msgs     0.000011                       # Average number of messages in buffer (Unspecified)
system.ruby.network.int_link_buffers6.m_stall_time  1421.719663                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.int_link_buffers7.m_buf_msgs     0.000061                       # Average number of messages in buffer (Unspecified)
system.ruby.network.int_link_buffers7.m_stall_time  1500.039312                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.int_link_buffers8.m_buf_msgs     0.000445                       # Average number of messages in buffer (Unspecified)
system.ruby.network.int_link_buffers8.m_stall_time 10360.287665                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.power_state.pwrStateResidencyTicks::UNDEFINED  29959334000                       # Cumulative time (in ticks) in various power states (Tick)
system.ruby.network.routers0.percent_links_utilized     0.017945                       (Unspecified)
system.ruby.network.routers0.msg_count.Request_Control::0         2380                       (Unspecified)
system.ruby.network.routers0.msg_bytes.Request_Control::0        19040                       (Unspecified)
system.ruby.network.routers0.msg_count.Response_Data::2         1925                       (Unspecified)
system.ruby.network.routers0.msg_bytes.Response_Data::2       138600                       (Unspecified)
system.ruby.network.routers0.msg_count.ResponseL2hit_Data::2          442                       (Unspecified)
system.ruby.network.routers0.msg_bytes.ResponseL2hit_Data::2        31824                       (Unspecified)
system.ruby.network.routers0.msg_count.ResponseLocal_Data::2          682                       (Unspecified)
system.ruby.network.routers0.msg_bytes.ResponseLocal_Data::2        49104                       (Unspecified)
system.ruby.network.routers0.msg_count.Response_Control::2            8                       (Unspecified)
system.ruby.network.routers0.msg_bytes.Response_Control::2           64                       (Unspecified)
system.ruby.network.routers0.msg_count.Writeback_Data::0          676                       (Unspecified)
system.ruby.network.routers0.msg_bytes.Writeback_Data::0        48672                       (Unspecified)
system.ruby.network.routers0.msg_count.Writeback_Control::0         1849                       (Unspecified)
system.ruby.network.routers0.msg_count.Writeback_Control::2         1848                       (Unspecified)
system.ruby.network.routers0.msg_bytes.Writeback_Control::0        14792                       (Unspecified)
system.ruby.network.routers0.msg_bytes.Writeback_Control::2        14784                       (Unspecified)
system.ruby.network.routers0.msg_count.Forwarded_Control::0          669                       (Unspecified)
system.ruby.network.routers0.msg_bytes.Forwarded_Control::0         5352                       (Unspecified)
system.ruby.network.routers0.msg_count.Unblock_Control::2         2730                       (Unspecified)
system.ruby.network.routers0.msg_bytes.Unblock_Control::2        21840                       (Unspecified)
system.ruby.network.routers0.port_buffers0.m_buf_msgs     0.000011                       # Average number of messages in buffer (Unspecified)
system.ruby.network.routers0.port_buffers0.m_stall_time  2843.177756                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.routers0.port_buffers2.m_buf_msgs     0.000071                       # Average number of messages in buffer (Unspecified)
system.ruby.network.routers0.port_buffers2.m_stall_time  3009.949028                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.routers0.port_buffers3.m_buf_msgs     0.000088                       # Average number of messages in buffer (Unspecified)
system.ruby.network.routers0.port_buffers3.m_stall_time  1000.082086                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.routers0.port_buffers5.m_buf_msgs     0.000057                       # Average number of messages in buffer (Unspecified)
system.ruby.network.routers0.port_buffers5.m_stall_time  1002.276394                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.routers0.power_state.pwrStateResidencyTicks::UNDEFINED  29959334000                       # Cumulative time (in ticks) in various power states (Tick)
system.ruby.network.routers0.throttle00.link_utilization     0.019981                       (Unspecified)
system.ruby.network.routers0.throttle00.msg_count.Response_Data::2         1925                       (Unspecified)
system.ruby.network.routers0.throttle00.msg_bytes.Response_Data::2       138600                       (Unspecified)
system.ruby.network.routers0.throttle00.msg_count.ResponseL2hit_Data::2          442                       (Unspecified)
system.ruby.network.routers0.throttle00.msg_bytes.ResponseL2hit_Data::2        31824                       (Unspecified)
system.ruby.network.routers0.throttle00.msg_count.ResponseLocal_Data::2           13                       (Unspecified)
system.ruby.network.routers0.throttle00.msg_bytes.ResponseLocal_Data::2          936                       (Unspecified)
system.ruby.network.routers0.throttle00.msg_count.Response_Control::2            8                       (Unspecified)
system.ruby.network.routers0.throttle00.msg_bytes.Response_Control::2           64                       (Unspecified)
system.ruby.network.routers0.throttle00.msg_count.Writeback_Control::2         1848                       (Unspecified)
system.ruby.network.routers0.throttle00.msg_bytes.Writeback_Control::2        14784                       (Unspecified)
system.ruby.network.routers0.throttle00.msg_count.Forwarded_Control::0          669                       (Unspecified)
system.ruby.network.routers0.throttle00.msg_bytes.Forwarded_Control::0         5352                       (Unspecified)
system.ruby.network.routers0.throttle01.link_utilization     0.015908                       (Unspecified)
system.ruby.network.routers0.throttle01.msg_count.Request_Control::0         2380                       (Unspecified)
system.ruby.network.routers0.throttle01.msg_bytes.Request_Control::0        19040                       (Unspecified)
system.ruby.network.routers0.throttle01.msg_count.ResponseLocal_Data::2          669                       (Unspecified)
system.ruby.network.routers0.throttle01.msg_bytes.ResponseLocal_Data::2        48168                       (Unspecified)
system.ruby.network.routers0.throttle01.msg_count.Writeback_Data::0          676                       (Unspecified)
system.ruby.network.routers0.throttle01.msg_bytes.Writeback_Data::0        48672                       (Unspecified)
system.ruby.network.routers0.throttle01.msg_count.Writeback_Control::0         1849                       (Unspecified)
system.ruby.network.routers0.throttle01.msg_bytes.Writeback_Control::0        14792                       (Unspecified)
system.ruby.network.routers0.throttle01.msg_count.Unblock_Control::2         2730                       (Unspecified)
system.ruby.network.routers0.throttle01.msg_bytes.Unblock_Control::2        21840                       (Unspecified)
system.ruby.network.routers1.percent_links_utilized     0.081789                       (Unspecified)
system.ruby.network.routers1.msg_count.Request_Control::0        10440                       (Unspecified)
system.ruby.network.routers1.msg_bytes.Request_Control::0        83520                       (Unspecified)
system.ruby.network.routers1.msg_count.Response_Data::2         1756                       (Unspecified)
system.ruby.network.routers1.msg_bytes.Response_Data::2       126432                       (Unspecified)
system.ruby.network.routers1.msg_count.ResponseL2hit_Data::2         8015                       (Unspecified)
system.ruby.network.routers1.msg_bytes.ResponseL2hit_Data::2       577080                       (Unspecified)
system.ruby.network.routers1.msg_count.ResponseLocal_Data::2          682                       (Unspecified)
system.ruby.network.routers1.msg_bytes.ResponseLocal_Data::2        49104                       (Unspecified)
system.ruby.network.routers1.msg_count.Response_Control::2           10                       (Unspecified)
system.ruby.network.routers1.msg_bytes.Response_Control::2           80                       (Unspecified)
system.ruby.network.routers1.msg_count.Writeback_Data::0         6757                       (Unspecified)
system.ruby.network.routers1.msg_bytes.Writeback_Data::0       486504                       (Unspecified)
system.ruby.network.routers1.msg_count.Writeback_Control::0         8997                       (Unspecified)
system.ruby.network.routers1.msg_count.Writeback_Control::2         8997                       (Unspecified)
system.ruby.network.routers1.msg_bytes.Writeback_Control::0        71976                       (Unspecified)
system.ruby.network.routers1.msg_bytes.Writeback_Control::2        71976                       (Unspecified)
system.ruby.network.routers1.msg_count.Forwarded_Control::0           13                       (Unspecified)
system.ruby.network.routers1.msg_bytes.Forwarded_Control::0          104                       (Unspecified)
system.ruby.network.routers1.msg_count.Unblock_Control::2        12680                       (Unspecified)
system.ruby.network.routers1.msg_bytes.Unblock_Control::2       101440                       (Unspecified)
system.ruby.network.routers1.port_buffers0.m_buf_msgs     0.000000                       # Average number of messages in buffer (Unspecified)
system.ruby.network.routers1.port_buffers0.m_stall_time  2842.662390                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.routers1.port_buffers2.m_buf_msgs     0.000325                       # Average number of messages in buffer (Unspecified)
system.ruby.network.routers1.port_buffers2.m_stall_time 11685.425650                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.routers1.port_buffers3.m_buf_msgs     0.000468                       # Average number of messages in buffer (Unspecified)
system.ruby.network.routers1.port_buffers3.m_stall_time   948.297975                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.routers1.port_buffers5.m_buf_msgs     0.000212                       # Average number of messages in buffer (Unspecified)
system.ruby.network.routers1.port_buffers5.m_stall_time   947.605210                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.routers1.power_state.pwrStateResidencyTicks::UNDEFINED  29959334000                       # Cumulative time (in ticks) in various power states (Tick)
system.ruby.network.routers1.throttle00.link_utilization     0.085933                       (Unspecified)
system.ruby.network.routers1.throttle00.msg_count.Response_Data::2         1756                       (Unspecified)
system.ruby.network.routers1.throttle00.msg_bytes.Response_Data::2       126432                       (Unspecified)
system.ruby.network.routers1.throttle00.msg_count.ResponseL2hit_Data::2         8015                       (Unspecified)
system.ruby.network.routers1.throttle00.msg_bytes.ResponseL2hit_Data::2       577080                       (Unspecified)
system.ruby.network.routers1.throttle00.msg_count.ResponseLocal_Data::2          669                       (Unspecified)
system.ruby.network.routers1.throttle00.msg_bytes.ResponseLocal_Data::2        48168                       (Unspecified)
system.ruby.network.routers1.throttle00.msg_count.Response_Control::2           10                       (Unspecified)
system.ruby.network.routers1.throttle00.msg_bytes.Response_Control::2           80                       (Unspecified)
system.ruby.network.routers1.throttle00.msg_count.Writeback_Control::2         8997                       (Unspecified)
system.ruby.network.routers1.throttle00.msg_bytes.Writeback_Control::2        71976                       (Unspecified)
system.ruby.network.routers1.throttle00.msg_count.Forwarded_Control::0           13                       (Unspecified)
system.ruby.network.routers1.throttle00.msg_bytes.Forwarded_Control::0          104                       (Unspecified)
system.ruby.network.routers1.throttle01.link_utilization     0.077644                       (Unspecified)
system.ruby.network.routers1.throttle01.msg_count.Request_Control::0        10440                       (Unspecified)
system.ruby.network.routers1.throttle01.msg_bytes.Request_Control::0        83520                       (Unspecified)
system.ruby.network.routers1.throttle01.msg_count.ResponseLocal_Data::2           13                       (Unspecified)
system.ruby.network.routers1.throttle01.msg_bytes.ResponseLocal_Data::2          936                       (Unspecified)
system.ruby.network.routers1.throttle01.msg_count.Writeback_Data::0         6757                       (Unspecified)
system.ruby.network.routers1.throttle01.msg_bytes.Writeback_Data::0       486504                       (Unspecified)
system.ruby.network.routers1.throttle01.msg_count.Writeback_Control::0         8997                       (Unspecified)
system.ruby.network.routers1.throttle01.msg_bytes.Writeback_Control::0        71976                       (Unspecified)
system.ruby.network.routers1.throttle01.msg_count.Unblock_Control::2        12680                       (Unspecified)
system.ruby.network.routers1.throttle01.msg_bytes.Unblock_Control::2       101440                       (Unspecified)
system.ruby.network.routers2.percent_links_utilized     0.111506                       (Unspecified)
system.ruby.network.routers2.msg_count.Request_Control::0        12820                       (Unspecified)
system.ruby.network.routers2.msg_count.Request_Control::1         3681                       (Unspecified)
system.ruby.network.routers2.msg_bytes.Request_Control::0       102560                       (Unspecified)
system.ruby.network.routers2.msg_bytes.Request_Control::1        29448                       (Unspecified)
system.ruby.network.routers2.msg_count.Response_Data::2         7362                       (Unspecified)
system.ruby.network.routers2.msg_bytes.Response_Data::2       530064                       (Unspecified)
system.ruby.network.routers2.msg_count.ResponseL2hit_Data::2         8457                       (Unspecified)
system.ruby.network.routers2.msg_bytes.ResponseL2hit_Data::2       608904                       (Unspecified)
system.ruby.network.routers2.msg_count.Response_Control::2           18                       (Unspecified)
system.ruby.network.routers2.msg_bytes.Response_Control::2          144                       (Unspecified)
system.ruby.network.routers2.msg_count.Writeback_Data::0         7433                       (Unspecified)
system.ruby.network.routers2.msg_bytes.Writeback_Data::0       535176                       (Unspecified)
system.ruby.network.routers2.msg_count.Writeback_Control::0        10846                       (Unspecified)
system.ruby.network.routers2.msg_count.Writeback_Control::2        10846                       (Unspecified)
system.ruby.network.routers2.msg_bytes.Writeback_Control::0        86768                       (Unspecified)
system.ruby.network.routers2.msg_bytes.Writeback_Control::2        86768                       (Unspecified)
system.ruby.network.routers2.msg_count.Forwarded_Control::0          682                       (Unspecified)
system.ruby.network.routers2.msg_bytes.Forwarded_Control::0         5456                       (Unspecified)
system.ruby.network.routers2.msg_count.Unblock_Control::2        19091                       (Unspecified)
system.ruby.network.routers2.msg_bytes.Unblock_Control::2       152728                       (Unspecified)
system.ruby.network.routers2.port_buffers0.m_buf_msgs     0.000519                       # Average number of messages in buffer (Unspecified)
system.ruby.network.routers2.port_buffers0.m_stall_time  3000.807436                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.routers2.port_buffers2.m_buf_msgs     0.000319                       # Average number of messages in buffer (Unspecified)
system.ruby.network.routers2.port_buffers2.m_stall_time  3000.005065                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.routers2.port_buffers3.m_buf_msgs     0.000012                       # Average number of messages in buffer (Unspecified)
system.ruby.network.routers2.port_buffers3.m_stall_time   947.917559                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.routers2.port_buffers4.m_buf_msgs     0.000063                       # Average number of messages in buffer (Unspecified)
system.ruby.network.routers2.port_buffers4.m_stall_time  1000.039420                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.routers2.port_buffers5.m_buf_msgs     0.000461                       # Average number of messages in buffer (Unspecified)
system.ruby.network.routers2.port_buffers5.m_stall_time  9860.288883                       # Average number of cycles messages are stalled in this MB (Unspecified)
system.ruby.network.routers2.power_state.pwrStateResidencyTicks::UNDEFINED  29959334000                       # Cumulative time (in ticks) in various power states (Tick)
system.ruby.network.routers2.throttle00.link_utilization     0.116076                       (Unspecified)
system.ruby.network.routers2.throttle00.msg_count.Request_Control::0        12820                       (Unspecified)
system.ruby.network.routers2.throttle00.msg_bytes.Request_Control::0       102560                       (Unspecified)
system.ruby.network.routers2.throttle00.msg_count.Response_Data::2         3681                       (Unspecified)
system.ruby.network.routers2.throttle00.msg_bytes.Response_Data::2       265032                       (Unspecified)
system.ruby.network.routers2.throttle00.msg_count.Writeback_Data::0         7433                       (Unspecified)
system.ruby.network.routers2.throttle00.msg_bytes.Writeback_Data::0       535176                       (Unspecified)
system.ruby.network.routers2.throttle00.msg_count.Writeback_Control::0        10846                       (Unspecified)
system.ruby.network.routers2.throttle00.msg_bytes.Writeback_Control::0        86768                       (Unspecified)
system.ruby.network.routers2.throttle00.msg_count.Unblock_Control::2        15410                       (Unspecified)
system.ruby.network.routers2.throttle00.msg_bytes.Unblock_Control::2       123280                       (Unspecified)
system.ruby.network.routers2.throttle01.link_utilization     0.106937                       (Unspecified)
system.ruby.network.routers2.throttle01.msg_count.Request_Control::1         3681                       (Unspecified)
system.ruby.network.routers2.throttle01.msg_bytes.Request_Control::1        29448                       (Unspecified)
system.ruby.network.routers2.throttle01.msg_count.Response_Data::2         3681                       (Unspecified)
system.ruby.network.routers2.throttle01.msg_bytes.Response_Data::2       265032                       (Unspecified)
system.ruby.network.routers2.throttle01.msg_count.ResponseL2hit_Data::2         8457                       (Unspecified)
system.ruby.network.routers2.throttle01.msg_bytes.ResponseL2hit_Data::2       608904                       (Unspecified)
system.ruby.network.routers2.throttle01.msg_count.Response_Control::2           18                       (Unspecified)
system.ruby.network.routers2.throttle01.msg_bytes.Response_Control::2          144                       (Unspecified)
system.ruby.network.routers2.throttle01.msg_count.Writeback_Control::2        10846                       (Unspecified)
system.ruby.network.routers2.throttle01.msg_bytes.Writeback_Control::2        86768                       (Unspecified)
system.ruby.network.routers2.throttle01.msg_count.Forwarded_Control::0          682                       (Unspecified)
system.ruby.network.routers2.throttle01.msg_bytes.Forwarded_Control::0         5456                       (Unspecified)
system.ruby.network.routers2.throttle01.msg_count.Unblock_Control::2         3681                       (Unspecified)
system.ruby.network.routers2.throttle01.msg_bytes.Unblock_Control::2        29448                       (Unspecified)
system.ruby.network.routers3.percent_links_utilized     0.016894                       (Unspecified)
system.ruby.network.routers3.msg_count.Request_Control::1         3681                       (Unspecified)
system.ruby.network.routers3.msg_bytes.Request_Control::1        29448                       (Unspecified)
